sokoban(sokoban).
crate(crate_01).
crate(crate_02).
crate(crate_03).
crate(crate_04).
location(l1;l2;l3;l4;l5;l6;l7;l8;l9;l10;l11;l12;l13;l14;l15;l16;l17;l18;l19;l20;l21;l22;l23;l24;l25;l26;l27;l28;l29;l30;l31;l32;l33;l34;l35;l36;l37;l38;l39;l40;l41;l42;l43;l44;l45;l46;l47;l48;l49;l50;l51;l52;l53;l54;l55;l56;l57;l58;l59;l60;l61;l62;l63).
isgoal(l32;l40;l42;l50).
isnongoal(l11;l12;l13;l14;l15;l16;l17;l20;l21;l22;l23;l24;l25;l26;l29;l30;l31;l33;l34;l35;l38;l39;l41;l43;l44;l47;l48;l49;l51;l52;l53).
wall(l1;l2;l3;l4;l5;l6;l7;l8;l9;l10;l18;l19;l27;l28;l36;l37;l45;l46;l54;l55;l56;l57;l58;l59;l60;l61;l62;l63).
leftOf(l1, l2).
below(l10, l1).
leftOf(l2, l3).
below(l11, l2).
leftOf(l3, l4).
below(l12, l3).
leftOf(l4, l5).
below(l13, l4).
leftOf(l5, l6).
below(l14, l5).
leftOf(l6, l7).
below(l15, l6).
leftOf(l7, l8).
below(l16, l7).
leftOf(l8, l9).
below(l17, l8).
below(l18, l9).
leftOf(l10, l11).
below(l19, l10).
leftOf(l11, l12).
below(l20, l11).
leftOf(l12, l13).
below(l21, l12).
leftOf(l13, l14).
below(l22, l13).
leftOf(l14, l15).
below(l23, l14).
leftOf(l15, l16).
below(l24, l15).
leftOf(l16, l17).
below(l25, l16).
leftOf(l17, l18).
below(l26, l17).
below(l27, l18).
leftOf(l19, l20).
below(l28, l19).
leftOf(l20, l21).
below(l29, l20).
leftOf(l21, l22).
below(l30, l21).
leftOf(l22, l23).
below(l31, l22).
leftOf(l23, l24).
below(l32, l23).
leftOf(l24, l25).
below(l33, l24).
leftOf(l25, l26).
below(l34, l25).
leftOf(l26, l27).
below(l35, l26).
below(l36, l27).
leftOf(l28, l29).
below(l37, l28).
leftOf(l29, l30).
below(l38, l29).
leftOf(l30, l31).
below(l39, l30).
leftOf(l31, l32).
below(l40, l31).
leftOf(l32, l33).
below(l41, l32).
leftOf(l33, l34).
below(l42, l33).
leftOf(l34, l35).
below(l43, l34).
leftOf(l35, l36).
below(l44, l35).
below(l45, l36).
leftOf(l37, l38).
below(l46, l37).
leftOf(l38, l39).
below(l47, l38).
leftOf(l39, l40).
below(l48, l39).
leftOf(l40, l41).
below(l49, l40).
leftOf(l41, l42).
below(l50, l41).
leftOf(l42, l43).
below(l51, l42).
leftOf(l43, l44).
below(l52, l43).
leftOf(l44, l45).
below(l53, l44).
below(l54, l45).
leftOf(l46, l47).
below(l55, l46).
leftOf(l47, l48).
below(l56, l47).
leftOf(l48, l49).
below(l57, l48).
leftOf(l49, l50).
below(l58, l49).
leftOf(l50, l51).
below(l59, l50).
leftOf(l51, l52).
below(l60, l51).
leftOf(l52, l53).
below(l61, l52).
leftOf(l53, l54).
below(l62, l53).
below(l63, l54).
leftOf(l55, l56).
leftOf(l56, l57).
leftOf(l57, l58).
leftOf(l58, l59).
leftOf(l59, l60).
leftOf(l60, l61).
leftOf(l61, l62).
leftOf(l62, l63).
at(sokoban, l23, 0).
at(crate_01, l22, 0).
at(crate_02, l24, 0).
at(crate_03, l25, 0).
at(crate_04, l21, 0).
clear(l11, 0).
clear(l12, 0).
clear(l13, 0).
clear(l14, 0).
clear(l15, 0).
clear(l16, 0).
clear(l17, 0).
clear(l20, 0).
clear(l26, 0).
clear(l29, 0).
clear(l30, 0).
clear(l31, 0).
clear(l32, 0).
clear(l33, 0).
clear(l34, 0).
clear(l35, 0).
clear(l38, 0).
clear(l39, 0).
clear(l40, 0).
clear(l41, 0).
clear(l42, 0).
clear(l43, 0).
clear(l44, 0).
clear(l47, 0).
clear(l48, 0).
clear(l49, 0).
clear(l50, 0).
clear(l51, 0).
clear(l52, 0).
clear(l53, 0).
#const maxsteps=10.
time(0..maxsteps).
