sokoban(sokoban).
crate(crate_01).
crate(crate_02).
location(l0_0;l1_0;l1_1;l1_2;l2_0;l2_1;l2_2;l2_3;l2_4;l3_0;l3_1;l3_2;l3_3;l3_4;l3_5;l3_6;l4_0;l4_1;l4_2;l4_3;l4_4;l4_5;l4_6;l4_7;l4_8;l5_0;l5_1;l5_2;l5_3;l5_4;l5_5;l5_6;l5_7;l5_8;l6_0;l6_1;l6_2;l6_3;l6_4;l6_5;l6_6;l6_7;l6_8;l7_0;l7_1;l7_2;l7_3;l7_4;l7_5;l7_6;l7_7;l7_8).
isgoal(l4_3;l5_3).
isnongoal(l1_1;l2_1;l2_2;l2_3;l3_1;l3_2;l3_3;l3_4;l3_5;l4_1;l4_2;l4_4;l4_5;l4_6;l4_7;l5_1;l5_2;l5_4;l5_6;l5_7;l6_1;l6_2;l6_3;l6_4;l6_5;l6_6;l6_7).
wall(l0_0;l1_0;l1_2;l2_0;l2_4;l3_0;l3_6;l4_0;l4_8;l5_0;l5_5;l5_8;l6_0;l6_8;l7_0;l7_1;l7_2;l7_3;l7_4;l7_5;l7_6;l7_7;l7_8).
below(l1_0, l0_0).
leftOf(l1_0, l1_1).
below(l2_0, l1_0).
leftOf(l1_1, l1_2).
below(l2_1, l1_1).
below(l2_2, l1_2).
leftOf(l2_0, l2_1).
below(l3_0, l2_0).
leftOf(l2_1, l2_2).
below(l3_1, l2_1).
leftOf(l2_2, l2_3).
below(l3_2, l2_2).
leftOf(l2_3, l2_4).
below(l3_3, l2_3).
below(l3_4, l2_4).
leftOf(l3_0, l3_1).
below(l4_0, l3_0).
leftOf(l3_1, l3_2).
below(l4_1, l3_1).
leftOf(l3_2, l3_3).
below(l4_2, l3_2).
leftOf(l3_3, l3_4).
below(l4_3, l3_3).
leftOf(l3_4, l3_5).
below(l4_4, l3_4).
leftOf(l3_5, l3_6).
below(l4_5, l3_5).
below(l4_6, l3_6).
leftOf(l4_0, l4_1).
below(l5_0, l4_0).
leftOf(l4_1, l4_2).
below(l5_1, l4_1).
leftOf(l4_2, l4_3).
below(l5_2, l4_2).
leftOf(l4_3, l4_4).
below(l5_3, l4_3).
leftOf(l4_4, l4_5).
below(l5_4, l4_4).
leftOf(l4_5, l4_6).
below(l5_5, l4_5).
leftOf(l4_6, l4_7).
below(l5_6, l4_6).
leftOf(l4_7, l4_8).
below(l5_7, l4_7).
below(l5_8, l4_8).
leftOf(l5_0, l5_1).
below(l6_0, l5_0).
leftOf(l5_1, l5_2).
below(l6_1, l5_1).
leftOf(l5_2, l5_3).
below(l6_2, l5_2).
leftOf(l5_3, l5_4).
below(l6_3, l5_3).
leftOf(l5_4, l5_5).
below(l6_4, l5_4).
leftOf(l5_5, l5_6).
below(l6_5, l5_5).
leftOf(l5_6, l5_7).
below(l6_6, l5_6).
leftOf(l5_7, l5_8).
below(l6_7, l5_7).
below(l6_8, l5_8).
leftOf(l6_0, l6_1).
below(l7_0, l6_0).
leftOf(l6_1, l6_2).
below(l7_1, l6_1).
leftOf(l6_2, l6_3).
below(l7_2, l6_2).
leftOf(l6_3, l6_4).
below(l7_3, l6_3).
leftOf(l6_4, l6_5).
below(l7_4, l6_4).
leftOf(l6_5, l6_6).
below(l7_5, l6_5).
leftOf(l6_6, l6_7).
below(l7_6, l6_6).
leftOf(l6_7, l6_8).
below(l7_7, l6_7).
below(l7_8, l6_8).
leftOf(l7_0, l7_1).
leftOf(l7_1, l7_2).
leftOf(l7_2, l7_3).
leftOf(l7_3, l7_4).
leftOf(l7_4, l7_5).
leftOf(l7_5, l7_6).
leftOf(l7_6, l7_7).
leftOf(l7_7, l7_8).
at(sokoban, l5_2, 0).
at(crate_01, l3_3, 0).
at(crate_02, l5_6, 0).
clear(l1_1, 0).
clear(l2_1, 0).
clear(l2_2, 0).
clear(l2_3, 0).
clear(l3_1, 0).
clear(l3_2, 0).
clear(l3_4, 0).
clear(l3_5, 0).
clear(l4_1, 0).
clear(l4_2, 0).
clear(l4_3, 0).
clear(l4_4, 0).
clear(l4_5, 0).
clear(l4_6, 0).
clear(l4_7, 0).
clear(l5_1, 0).
clear(l5_3, 0).
clear(l5_4, 0).
clear(l5_7, 0).
clear(l6_1, 0).
clear(l6_2, 0).
clear(l6_3, 0).
clear(l6_4, 0).
clear(l6_5, 0).
clear(l6_6, 0).
clear(l6_7, 0).
#const maxsteps=10.
time(0..maxsteps).
